checkpoint_file,generation,individual_index,tree_size,tree_height,fitness,tree_hash
checkpoint_gen_10.pkl,10,0,54,7,-5565042.0,458e63b4a9a9831e
checkpoint_gen_10.pkl,10,1,8,3,-5565042.0,1dfbeba1ed2cedee
checkpoint_gen_10.pkl,10,2,7,3,-5565042.0,3568d0e6bc34a5f5
checkpoint_gen_10.pkl,10,3,4,2,-5565042.0,0eb66b97ee75d566
checkpoint_gen_10.pkl,10,4,47,7,-5565042.0,bc27b2e348cd301a
checkpoint_gen_10.pkl,10,5,62,7,-5380886.699999999,db17dde8b1fe71db
checkpoint_gen_10.pkl,10,6,25,6,-5565042.0,b6cc28cf9adecdd8
checkpoint_gen_10.pkl,10,7,39,6,-5380886.699999999,3abbd32a4a833229
checkpoint_gen_10.pkl,10,8,12,4,-3031073.613925171,04e8c2f65c6023f8
checkpoint_gen_10.pkl,10,9,4,2,-5380886.699999999,977ec0a7bd473f38
checkpoint_gen_10.pkl,10,10,43,7,-5380886.699999999,2cc797ae171e9c9a
checkpoint_gen_10.pkl,10,11,4,2,-5565042.0,0eb66b97ee75d566
checkpoint_gen_10.pkl,10,12,111,7,-5565042.0,a5bc4e559f2fa2ef
checkpoint_gen_10.pkl,10,13,23,7,-5565042.0,0443630f9342e760
checkpoint_gen_10.pkl,10,14,25,6,-5565042.0,a490b2041869608a
checkpoint_gen_10.pkl,10,15,90,7,-5380886.699999999,952c8b45f6dda71b
checkpoint_gen_10.pkl,10,16,54,7,-5565042.0,6711f6874a62c873
checkpoint_gen_10.pkl,10,17,99,7,-5565042.0,87180d0fd60ba6b1
checkpoint_gen_10.pkl,10,18,11,4,-5565042.0,eb4125bc9a507590
checkpoint_gen_10.pkl,10,19,4,2,-5565042.0,0eb66b97ee75d566
checkpoint_gen_10.pkl,10,20,38,7,-3031073.613925171,ec8f9257b339dbc7
checkpoint_gen_10.pkl,10,21,4,2,-5565042.0,827564357457d92a
checkpoint_gen_10.pkl,10,22,4,2,-5565042.0,2d06304ca207508f
checkpoint_gen_10.pkl,10,23,31,7,-5288015.619999999,ef0e8bc23ed0ead0
checkpoint_gen_10.pkl,10,24,32,6,-5565042.0,3e5d2da1646ff4dc
checkpoint_gen_10.pkl,10,25,4,2,-5565042.0,0eb66b97ee75d566
checkpoint_gen_10.pkl,10,26,75,7,-5565042.0,1b8fae7a4b69e2db
